provider,model,date,project,input_tokens,output_tokens,requests,total_cost,errors
openai,gpt-4o,2026-05-10,research-agent,25191062,4673214,6329,109.71,0
openai,gpt-4o,2026-05-11,research-agent,27653049,4846226,6597,117.59,0
openai,gpt-4o,2026-05-12,research-agent,32458122,5525942,7958,136.40,0
openai,gpt-4o,2026-05-13,research-agent,30973263,5174657,7964,129.18,0
openai,gpt-4o,2026-05-14,research-agent,29835767,5004269,7040,124.63,0
openai,gpt-4o,2026-05-15,research-agent,19104367,3396779,4742,81.73,0
openai,gpt-4o,2026-05-16,research-agent,17228611,2916784,4302,72.24,0
openai,gpt-4o,2026-05-17,research-agent,33365425,5663824,7652,140.05,0
openai,gpt-4o,2026-05-18,research-agent,32301474,5122223,7681,131.98,0
openai,gpt-4o,2026-05-19,research-agent,25668068,4284239,6330,107.01,0
openai,gpt-4o,2026-05-20,research-agent,21062282,3863043,5381,91.29,0
openai,gpt-4o,2026-05-21,research-agent,25466462,4252541,5893,106.19,0
openai,gpt-4o,2026-05-22,research-agent,14023464,2043289,3125,55.49,0
openai,gpt-4o,2026-05-23,research-agent,11587338,1783332,2576,46.80,0
openai,gpt-4o,2026-05-24,research-agent,18146291,2660588,4035,71.97,0
openai,gpt-4o,2026-05-25,research-agent,17751062,2910505,4507,73.48,0
openai,gpt-4o,2026-05-26,research-agent,20617328,3504422,5021,86.59,0
openai,gpt-4o,2026-05-27,research-agent,22774052,3967286,5327,96.61,0
openai,gpt-4o,2026-05-28,research-agent,18883605,3493997,4822,82.15,0
openai,gpt-4o,2026-05-29,research-agent,16639224,2500808,3704,66.61,0
openai,gpt-4o,2026-05-30,research-agent,19437938,2975247,4480,78.35,0
openai,gpt-4o,2026-05-31,research-agent,68859511,12028560,16342,292.43,0
openai,gpt-4o,2026-06-01,research-agent,30901484,5917922,7833,136.43,0
openai,gpt-4o,2026-06-02,research-agent,28507596,5017189,6720,121.44,0
openai,gpt-4o,2026-06-03,research-agent,30265537,5162094,7283,127.28,0
openai,gpt-4o,2026-06-04,research-agent,27201416,4726679,6650,115.27,0
openai,gpt-4o,2026-06-05,research-agent,16222085,2884635,3975,69.40,0
openai,gpt-4o,2026-06-06,research-agent,18106029,3094822,4457,76.21,0
openai,gpt-4o,2026-06-07,research-agent,28156339,4587340,6355,116.26,0
openai,gpt-4o,2026-06-08,research-agent,22297321,3659015,4920,92.33,0
openai,gpt-4o-mini,2026-05-10,research-agent,18361523,7649228,84381,7.34,0
openai,gpt-4o-mini,2026-05-11,research-agent,18718082,7410356,87954,7.25,0
openai,gpt-4o-mini,2026-05-12,research-agent,24079196,9264721,106111,9.17,0
openai,gpt-4o-mini,2026-05-13,research-agent,24429241,10175482,106184,9.77,0
openai,gpt-4o-mini,2026-05-14,research-agent,19306849,8414230,93861,7.94,0
openai,gpt-4o-mini,2026-05-15,research-agent,14626008,5353368,63225,5.41,0
openai,gpt-4o-mini,2026-05-16,research-agent,13574182,4896930,57362,4.97,0
openai,gpt-4o-mini,2026-05-17,research-agent,23198075,9475814,102027,9.17,0
openai,gpt-4o-mini,2026-05-18,research-agent,21534210,9089196,102419,8.68,0
openai,gpt-4o-mini,2026-05-19,research-agent,17568113,7783975,84400,7.31,0
openai,gpt-4o-mini,2026-05-20,research-agent,15369128,6154125,71743,6.00,0
openai,gpt-4o-mini,2026-05-21,research-agent,17642577,7509305,78573,7.15,0
openai,gpt-4o-mini,2026-05-22,research-agent,8912520,3925676,41669,3.69,0
openai,gpt-4o-mini,2026-05-23,research-agent,7426910,2908918,34347,2.86,0
openai,gpt-4o-mini,2026-05-24,research-agent,12524066,4740798,53797,4.72,0
openai,gpt-4o-mini,2026-05-25,research-agent,12183380,5614008,60095,5.20,0
openai,gpt-4o-mini,2026-05-26,research-agent,15046195,6387252,66943,6.09,0
openai,gpt-4o-mini,2026-05-27,research-agent,16645944,6094615,71025,6.15,0
openai,gpt-4o-mini,2026-05-28,research-agent,14380342,5776680,64296,5.62,0
openai,gpt-4o-mini,2026-05-29,research-agent,10315630,4122922,49386,4.02,0
openai,gpt-4o-mini,2026-05-30,research-agent,13573908,5555387,59735,5.37,0
openai,gpt-4o-mini,2026-05-31,research-agent,46336601,18905657,217890,18.29,0
openai,gpt-4o-mini,2026-06-01,research-agent,22377380,8691906,104446,8.57,0
openai,gpt-4o-mini,2026-06-02,research-agent,18831096,8700468,89597,8.04,0
openai,gpt-4o-mini,2026-06-03,research-agent,21610405,9422615,97105,8.90,0
openai,gpt-4o-mini,2026-06-04,research-agent,18456599,7559323,88662,7.30,0
openai,gpt-4o-mini,2026-06-05,research-agent,11774623,4611987,53004,4.53,0
openai,gpt-4o-mini,2026-06-06,research-agent,12852497,5291857,59422,5.10,0
openai,gpt-4o-mini,2026-06-07,research-agent,18398833,7853549,84738,7.47,0
openai,gpt-4o-mini,2026-06-08,research-agent,14198089,5749368,65602,5.58,0
openai,gpt-4o-mini,2026-05-10,tool-router,20860466,6358838,108992,6.94,7383
openai,gpt-4o-mini,2026-05-11,tool-router,20433939,6937399,113608,7.23,7696
openai,gpt-4o-mini,2026-05-12,tool-router,24853806,8341096,137060,8.73,9285
openai,gpt-4o-mini,2026-05-13,tool-router,23642741,7999361,137155,8.35,9291
openai,gpt-4o-mini,2026-05-14,tool-router,21120076,7065381,121237,7.41,8213
openai,gpt-4o-mini,2026-05-15,tool-router,15098060,4681141,81666,5.07,5532
openai,gpt-4o-mini,2026-05-16,tool-router,12631076,4584272,74093,4.65,5019
openai,gpt-4o-mini,2026-05-17,tool-router,23016206,7432563,131785,7.91,8927
openai,gpt-4o-mini,2026-05-18,tool-router,23102942,7356330,132291,7.88,8962
openai,gpt-4o-mini,2026-05-19,tool-router,19866498,6235097,109017,6.72,7385
openai,gpt-4o-mini,2026-05-20,tool-router,16630957,5453264,92668,5.77,6277
openai,gpt-4o-mini,2026-05-21,tool-router,18888003,6491425,101490,6.73,6875
openai,gpt-4o-mini,2026-05-22,tool-router,10171306,3198048,53823,3.44,3646
openai,gpt-4o-mini,2026-05-23,tool-router,7543624,2818412,44364,2.82,3005
openai,gpt-4o-mini,2026-05-24,tool-router,12559223,4396339,69488,4.52,4707
openai,gpt-4o-mini,2026-05-25,tool-router,14854075,4620198,77623,5.00,5258
openai,gpt-4o-mini,2026-05-26,tool-router,14684166,5286649,86468,5.37,5858
openai,gpt-4o-mini,2026-05-27,tool-router,17325894,5247595,91740,5.75,6215
openai,gpt-4o-mini,2026-05-28,tool-router,14684868,5019345,83049,5.21,5626
openai,gpt-4o-mini,2026-05-29,tool-router,12372284,3822501,63790,4.15,4321
openai,gpt-4o-mini,2026-05-30,tool-router,14687073,4883625,77157,5.13,5227
openai,gpt-4o-mini,2026-05-31,tool-router,52634234,15680268,281442,17.30,19065
openai,gpt-4o-mini,2026-06-01,tool-router,22610511,7666300,134910,7.99,9139
openai,gpt-4o-mini,2026-06-02,tool-router,20853207,7140067,115730,7.41,7840
openai,gpt-4o-mini,2026-06-03,tool-router,23518945,8117383,125427,8.40,8497
openai,gpt-4o-mini,2026-06-04,tool-router,21655938,7015956,114521,7.46,7758
openai,gpt-4o-mini,2026-06-05,tool-router,12987957,4339827,68464,4.55,4638
openai,gpt-4o-mini,2026-06-06,tool-router,14035239,4495453,76753,4.80,5199
openai,gpt-4o-mini,2026-06-07,tool-router,19534355,6964826,109454,7.11,7415
openai,gpt-4o-mini,2026-06-08,tool-router,15694165,4961530,84736,5.33,5740
anthropic,claude-3-5-sonnet,2026-05-10,summarizer,8019474,1305385,914,43.64,0
anthropic,claude-3-5-sonnet,2026-05-11,summarizer,7601207,1407777,953,43.92,0
anthropic,claude-3-5-sonnet,2026-05-12,summarizer,8904326,1575417,1150,50.34,0
anthropic,claude-3-5-sonnet,2026-05-13,summarizer,8705731,1503225,1150,48.67,0
anthropic,claude-3-5-sonnet,2026-05-14,summarizer,8536419,1475368,1017,47.74,0
anthropic,claude-3-5-sonnet,2026-05-15,summarizer,6026764,1017225,685,33.34,0
anthropic,claude-3-5-sonnet,2026-05-16,summarizer,5064700,898261,621,28.67,0
anthropic,claude-3-5-sonnet,2026-05-17,summarizer,8546556,1490838,1105,48.00,0
anthropic,claude-3-5-sonnet,2026-05-18,summarizer,8576470,1441534,1110,47.35,0
anthropic,claude-3-5-sonnet,2026-05-19,summarizer,7244155,1267517,914,40.75,0
anthropic,claude-3-5-sonnet,2026-05-20,summarizer,6441500,1125459,777,36.21,0
anthropic,claude-3-5-sonnet,2026-05-21,summarizer,7305976,1245688,851,40.60,0
anthropic,claude-3-5-sonnet,2026-05-22,summarizer,3518275,648206,451,20.28,0
anthropic,claude-3-5-sonnet,2026-05-23,summarizer,3059090,516096,372,16.92,0
anthropic,claude-3-5-sonnet,2026-05-24,summarizer,4756910,810854,583,26.43,0
anthropic,claude-3-5-sonnet,2026-05-25,summarizer,5274187,886890,651,29.13,0
anthropic,claude-3-5-sonnet,2026-05-26,summarizer,5761985,957778,725,31.65,0
anthropic,claude-3-5-sonnet,2026-05-27,summarizer,6310438,1036533,769,34.48,0
anthropic,claude-3-5-sonnet,2026-05-28,summarizer,5743344,983287,697,31.98,0
anthropic,claude-3-5-sonnet,2026-05-29,summarizer,4490445,741473,535,24.59,0
anthropic,claude-3-5-sonnet,2026-05-30,summarizer,4995416,833882,647,27.49,0
anthropic,claude-3-5-sonnet,2026-05-31,summarizer,18262644,3538315,2360,107.86,0
anthropic,claude-3-5-sonnet,2026-06-01,summarizer,8642729,1678786,1132,51.11,0
anthropic,claude-3-5-sonnet,2026-06-02,summarizer,7873531,1359936,971,44.02,0
anthropic,claude-3-5-sonnet,2026-06-03,summarizer,8072642,1548601,1052,47.45,0
anthropic,claude-3-5-sonnet,2026-06-04,summarizer,7321317,1317547,961,41.73,0
anthropic,claude-3-5-sonnet,2026-06-05,summarizer,4503248,829671,574,25.95,0
anthropic,claude-3-5-sonnet,2026-06-06,summarizer,5334918,843121,644,28.65,0
anthropic,claude-3-5-sonnet,2026-06-07,summarizer,8089331,1336630,918,44.32,0
anthropic,claude-3-5-sonnet,2026-06-08,summarizer,5980573,1042603,711,33.58,0
anthropic,claude-3-opus,2026-05-10,planner,1487527,464398,492,57.14,0
anthropic,claude-3-opus,2026-05-11,planner,1545662,437827,513,56.02,0
anthropic,claude-3-opus,2026-05-12,planner,1731641,521078,619,65.06,0
anthropic,claude-3-opus,2026-05-13,planner,1726141,535955,619,66.09,0
anthropic,claude-3-opus,2026-05-14,planner,1689280,506486,548,63.33,0
anthropic,claude-3-opus,2026-05-15,planner,1117805,357427,369,43.57,0
anthropic,claude-3-opus,2026-05-16,planner,928159,296520,335,36.16,0
anthropic,claude-3-opus,2026-05-17,planner,1738686,517004,595,64.86,0
anthropic,claude-3-opus,2026-05-18,planner,1886454,540453,597,68.83,0
anthropic,claude-3-opus,2026-05-19,planner,1406325,474278,492,56.67,0
anthropic,claude-3-opus,2026-05-20,planner,1344709,362130,418,47.33,0
anthropic,claude-3-opus,2026-05-21,planner,1378036,435944,458,53.37,0
anthropic,claude-3-opus,2026-05-22,planner,779779,225173,243,28.58,0
anthropic,claude-3-opus,2026-05-23,planner,606579,188926,200,23.27,0
anthropic,claude-3-opus,2026-05-24,planner,913661,282330,314,34.88,0
anthropic,claude-3-opus,2026-05-25,planner,1095162,318413,351,40.31,0
anthropic,claude-3-opus,2026-05-26,planner,1208148,354957,391,44.74,0
anthropic,claude-3-opus,2026-05-27,planner,1251144,400439,414,48.80,0
anthropic,claude-3-opus,2026-05-28,planner,1212177,351894,375,44.57,0
anthropic,claude-3-opus,2026-05-29,planner,837557,264656,288,32.41,0
anthropic,claude-3-opus,2026-05-30,planner,1072049,331475,348,40.94,0
anthropic,claude-3-opus,2026-05-31,planner,3743968,1213070,1271,147.14,0
anthropic,claude-3-opus,2026-06-01,planner,1773493,581413,609,70.21,0
anthropic,claude-3-opus,2026-06-02,planner,1547221,458624,523,57.61,0
anthropic,claude-3-opus,2026-06-03,planner,1706928,536847,566,65.87,0
