provider,model,date,project,input_tokens,output_tokens,requests,total_cost,errors
openai,gpt-4o-mini,2026-05-10,search-rerank,119949385,16021371,84381,27.61,0
openai,gpt-4o-mini,2026-05-11,search-rerank,131672202,16614498,87954,29.72,0
openai,gpt-4o-mini,2026-05-12,search-rerank,154568797,18946862,106111,34.55,0
openai,gpt-4o-mini,2026-05-13,search-rerank,147488027,17741234,106184,32.77,0
openai,gpt-4o-mini,2026-05-14,search-rerank,142066503,17156459,93861,31.60,0
openai,gpt-4o-mini,2026-05-15,search-rerank,90970780,11645792,63225,20.63,0
openai,gpt-4o-mini,2026-05-16,search-rerank,82043866,10000751,57362,18.31,0
openai,gpt-4o-mini,2026-05-17,search-rerank,158883497,19418888,102027,35.48,0
openai,gpt-4o-mini,2026-05-18,search-rerank,153825053,17562879,102419,33.61,0
openai,gpt-4o-mini,2026-05-19,search-rerank,122228897,14688821,84400,27.15,0
openai,gpt-4o-mini,2026-05-20,search-rerank,100291456,13244042,71743,22.99,0
openai,gpt-4o-mini,2026-05-21,search-rerank,121268354,14580080,78573,26.94,0
openai,gpt-4o-mini,2026-05-22,search-rerank,66782139,7005954,41669,14.22,0
openai,gpt-4o-mini,2026-05-23,search-rerank,55178334,6114342,34347,11.95,0
openai,gpt-4o-mini,2026-05-24,search-rerank,86406089,9121507,53797,18.43,0
openai,gpt-4o-mini,2026-05-25,search-rerank,84531211,9979152,60095,18.67,0
openai,gpt-4o-mini,2026-05-26,search-rerank,98172376,12014502,66943,21.93,0
openai,gpt-4o-mini,2026-05-27,search-rerank,108445323,13601804,71025,24.43,0
openai,gpt-4o-mini,2026-05-28,search-rerank,89925657,11979915,64296,20.68,0
openai,gpt-4o-mini,2026-05-29,search-rerank,79233331,8574083,49386,17.03,0
openai,gpt-4o-mini,2026-05-30,search-rerank,92564191,10201133,59735,20.01,0
openai,gpt-4o-mini,2026-05-31,search-rerank,327897415,41240145,217890,73.93,0
openai,gpt-4o-mini,2026-06-01,search-rerank,147158379,20291183,104446,34.25,0
openai,gpt-4o-mini,2026-06-02,search-rerank,135745911,17201214,89597,30.68,0
openai,gpt-4o-mini,2026-06-03,search-rerank,144119132,17698304,97105,32.24,0
openai,gpt-4o-mini,2026-06-04,search-rerank,129523736,16204903,88662,29.15,0
openai,gpt-4o-mini,2026-06-05,search-rerank,77253853,9890924,53004,17.52,0
openai,gpt-4o-mini,2026-06-06,search-rerank,86212414,10609986,59422,19.30,0
openai,gpt-4o-mini,2026-06-07,search-rerank,134085190,15728888,84738,29.55,0
openai,gpt-4o-mini,2026-06-08,search-rerank,106180954,12545576,65602,23.45,0
gemini,gemini-1.5-flash,2026-05-10,tagging,175268196,22310135,147666,19.84,0
gemini,gemini-1.5-flash,2026-05-11,tagging,178673178,21613609,153920,19.88,0
gemini,gemini-1.5-flash,2026-05-12,tagging,229847799,27022213,185695,25.35,0
gemini,gemini-1.5-flash,2026-05-13,tagging,233189464,29678648,185823,26.39,0
