provider,model,date,project,input_tokens,output_tokens,requests,total_cost,errors,reasoning_tokens,cache_read_input_tokens,cache_creation_input_tokens
openai,gpt-4o,2026-05-10,checkout-agent,26820315,5544082,8086,122.49,0,0,0,0
openai,gpt-4o,2026-05-11,checkout-agent,29443629,5749744,8429,131.11,0,0,0,0
openai,gpt-4o,2026-05-12,checkout-agent,34563400,6556861,10169,151.98,0,0,0,0
openai,gpt-4o,2026-05-13,checkout-agent,32980070,6139637,10176,143.85,0,0,0,0
openai,gpt-4o,2026-05-14,checkout-agent,31767604,5937239,8995,138.79,0,0,0,0
openai,gpt-4o,2026-05-15,checkout-agent,20341867,4030157,6059,91.16,0,0,0,0
openai,gpt-4o,2026-05-16,checkout-agent,18345280,3460787,5497,80.47,0,0,0,0
openai,gpt-4o,2026-05-17,checkout-agent,35529614,6720477,9778,156.03,0,0,0,0
openai,gpt-4o,2026-05-18,checkout-agent,34396451,6077799,9815,146.77,0,0,0,0
openai,gpt-4o,2026-05-19,checkout-agent,27330613,5083075,8088,119.16,0,0,0,0
openai,gpt-4o,2026-05-20,checkout-agent,22425074,4583050,6875,101.89,0,0,0,0
openai,gpt-4o,2026-05-21,checkout-agent,27117266,5045711,7530,118.25,0,0,0,0
openai,gpt-4o,2026-05-22,checkout-agent,14932184,2424345,3993,61.57,0,0,0,0
openai,gpt-4o,2026-05-23,checkout-agent,12340035,2116224,3292,52.01,0,0,0,0
openai,gpt-4o,2026-05-24,checkout-agent,19323064,3156911,5156,79.88,0,0,0,0
openai,gpt-4o,2026-05-25,checkout-agent,18901776,3453371,5759,81.79,0,0,0,0
openai,gpt-4o,2026-05-26,checkout-agent,21951165,4157556,6415,96.45,0,0,0,0
openai,gpt-4o,2026-05-27,checkout-agent,24251138,4707408,6807,107.70,0,0,0,0
openai,gpt-4o,2026-05-28,checkout-agent,20109355,4146029,6162,91.73,0,0,0,0
openai,gpt-4o,2026-05-29,checkout-agent,17718108,2967298,4733,73.97,0,0,0,0
openai,gpt-4o,2026-05-30,checkout-agent,20699813,3530497,5725,87.05,0,0,0,0
openai,gpt-4o,2026-05-31,checkout-agent,73321066,14271678,20881,326.02,0,0,0,0
openai,gpt-4o,2026-06-01,checkout-agent,32904906,7021778,10009,152.48,0,0,0,0
openai,gpt-4o,2026-06-02,checkout-agent,30352953,5952472,8586,135.41,0,0,0,0
openai,gpt-4o,2026-06-03,checkout-agent,32227000,6124829,9306,141.82,0,0,0,0
openai,gpt-4o,2026-06-04,checkout-agent,28963713,5608095,8497,128.49,0,0,0,0
openai,gpt-4o,2026-06-05,checkout-agent,17276350,3423204,5080,77.42,0,0,0,0
openai,gpt-4o,2026-06-06,checkout-agent,19279380,3671995,5695,84.92,0,0,0,0
openai,gpt-4o,2026-06-07,checkout-agent,29983954,5443399,8121,129.39,0,0,0,0
openai,gpt-4o,2026-06-08,checkout-agent,23743776,4341680,6287,102.78,0,0,0,0
anthropic,claude-3-opus,2026-05-10,checkout-agent,1252204,178522,633,32.17,0,0,0,0
anthropic,claude-3-opus,2026-05-11,checkout-agent,1276900,172999,660,32.13,0,0,0,0
anthropic,claude-3-opus,2026-05-12,checkout-agent,1642109,216222,796,40.85,0,0,0,0
anthropic,claude-3-opus,2026-05-13,checkout-agent,1664835,237315,796,42.77,0,0,0,0
anthropic,claude-3-opus,2026-05-14,checkout-agent,1316456,196344,704,34.47,0,0,0,0
anthropic,claude-3-opus,2026-05-15,checkout-agent,996833,124863,474,24.32,0,0,0,0
anthropic,claude-3-opus,2026-05-16,checkout-agent,925050,114205,430,22.44,0,0,0,0
anthropic,claude-3-opus,2026-05-17,checkout-agent,1581268,221044,765,40.30,0,0,0,0
anthropic,claude-3-opus,2026-05-18,checkout-agent,1467969,212042,768,37.92,0,0,0,0
anthropic,claude-3-opus,2026-05-19,checkout-agent,1197826,181626,633,31.59,0,0,0,0
anthropic,claude-3-opus,2026-05-20,checkout-agent,1047754,143577,538,26.48,0,0,0,0
anthropic,claude-3-opus,2026-05-21,checkout-agent,1202296,175129,589,31.17,0,0,0,0
anthropic,claude-3-opus,2026-05-22,checkout-agent,608610,91741,313,16.01,0,0,0,0
anthropic,claude-3-opus,2026-05-23,checkout-agent,507162,67979,258,12.71,0,0,0,0
anthropic,claude-3-opus,2026-05-24,checkout-agent,852903,110488,403,21.08,0,0,0,0
anthropic,claude-3-opus,2026-05-25,checkout-agent,831215,131077,451,22.30,0,0,0,0
anthropic,claude-3-opus,2026-05-26,checkout-agent,1025729,149014,502,26.56,0,0,0,0
anthropic,claude-3-opus,2026-05-27,checkout-agent,1135617,142291,533,27.71,0,0,0,0
anthropic,claude-3-opus,2026-05-28,checkout-agent,980031,134728,482,24.81,0,0,0,0
anthropic,claude-3-opus,2026-05-29,checkout-agent,702588,96099,370,17.75,0,0,0,0
anthropic,claude-3-opus,2026-05-30,checkout-agent,925468,129622,448,23.60,0,0,0,0
anthropic,claude-3-opus,2026-05-31,checkout-agent,3158975,441085,1634,80.47,0,0,0,0
anthropic,claude-3-opus,2026-06-01,checkout-agent,1525058,202722,783,38.08,0,0,0,0
anthropic,claude-3-opus,2026-06-02,checkout-agent,1283981,203018,672,34.49,0,0,0,0
anthropic,claude-3-opus,2026-06-03,checkout-agent,1472855,219774,728,38.58,0,0,0,0
anthropic,claude-3-opus,2026-06-04,checkout-agent,1258471,176393,665,32.11,0,0,0,0
anthropic,claude-3-opus,2026-06-05,checkout-agent,803764,107740,398,20.14,0,0,0,0
anthropic,claude-3-opus,2026-06-06,checkout-agent,876965,123569,446,22.42,0,0,0,0
anthropic,claude-3-opus,2026-06-07,checkout-agent,1255384,183384,636,32.58,0,0,0,0
anthropic,claude-3-opus,2026-06-08,checkout-agent,968022,134148,492,24.58,0,0,0,0
openai,gpt-4o-mini,2026-05-10,support-bot,130844704,21537913,49222,32.55,0,0,0,0
openai,gpt-4o-mini,2026-05-11,support-bot,128170274,23497715,51307,33.32,0,0,0,0
openai,gpt-4o-mini,2026-05-12,support-bot,155892888,28252070,61898,40.34,0,0,0,0
