provider,model,date,project,input_tokens,output_tokens,requests,total_cost,errors
openai,gpt-4o-mini,2026-05-08,search-rerank,109830508,13179661,73220,24.41,0
openai,gpt-4o-mini,2026-05-09,search-rerank,122033898,14644068,81356,27.12,0
openai,gpt-4o-mini,2026-05-10,search-rerank,128135593,15376271,85424,28.47,0
openai,gpt-4o-mini,2026-05-11,search-rerank,122033898,14644068,81356,27.12,0
openai,gpt-4o-mini,2026-05-12,search-rerank,115932203,13911864,77288,25.76,0
openai,gpt-4o-mini,2026-05-13,search-rerank,73220339,8786441,48814,16.27,0
openai,gpt-4o-mini,2026-05-14,search-rerank,67118644,8054237,44746,14.92,0
openai,gpt-4o-mini,2026-05-15,search-rerank,115932203,13911864,77288,25.76,0
openai,gpt-4o-mini,2026-05-16,search-rerank,134237288,16108475,89492,29.83,0
openai,gpt-4o-mini,2026-05-17,search-rerank,140338983,16840678,93559,31.19,0
openai,gpt-4o-mini,2026-05-18,search-rerank,128135593,15376271,85424,28.47,0
openai,gpt-4o-mini,2026-05-19,search-rerank,122033898,14644068,81356,27.12,0
openai,gpt-4o-mini,2026-05-20,search-rerank,79322034,9518644,52881,17.63,0
openai,gpt-4o-mini,2026-05-21,search-rerank,73220339,8786441,48814,16.27,0
openai,gpt-4o-mini,2026-05-22,search-rerank,122033898,14644068,81356,27.12,0
openai,gpt-4o-mini,2026-05-23,search-rerank,134237288,16108475,89492,29.83,0
openai,gpt-4o-mini,2026-05-24,search-rerank,146440678,17572881,97627,32.54,0
openai,gpt-4o-mini,2026-05-25,search-rerank,140338983,16840678,93559,31.19,0
openai,gpt-4o-mini,2026-05-26,search-rerank,128135593,15376271,85424,28.47,0
openai,gpt-4o-mini,2026-05-27,search-rerank,85423729,10250847,56949,18.98,0
openai,gpt-4o-mini,2026-05-28,search-rerank,73220339,8786441,48814,16.27,0
openai,gpt-4o-mini,2026-05-29,search-rerank,317288136,38074576,211525,70.51,0
openai,gpt-4o-mini,2026-05-30,search-rerank,146440678,17572881,97627,32.54,0
openai,gpt-4o-mini,2026-05-31,search-rerank,134237288,16108475,89492,29.83,0
openai,gpt-4o-mini,2026-06-01,search-rerank,122033898,14644068,81356,27.12,0
openai,gpt-4o-mini,2026-06-02,search-rerank,115932203,13911864,77288,25.76,0
openai,gpt-4o-mini,2026-06-03,search-rerank,79322034,9518644,52881,17.63,0
openai,gpt-4o-mini,2026-06-04,search-rerank,73220339,8786441,48814,16.27,0
openai,gpt-4o-mini,2026-06-05,search-rerank,122033898,14644068,81356,27.12,0
openai,gpt-4o-mini,2026-06-06,search-rerank,128135593,15376271,85424,28.47,0
gemini,gemini-1.5-flash,2026-05-08,tagging,153762712,19220339,128136,23.80,0
gemini,gemini-1.5-flash,2026-05-09,tagging,170847458,21355932,142373,26.44,0
gemini,gemini-1.5-flash,2026-05-10,tagging,179389831,22423729,149492,27.76,0
gemini,gemini-1.5-flash,2026-05-11,tagging,170847458,21355932,142373,26.44,0
gemini,gemini-1.5-flash,2026-05-12,tagging,162305085,20288136,135254,25.12,0
gemini,gemini-1.5-flash,2026-05-13,tagging,102508475,12813559,85424,15.86,0
gemini,gemini-1.5-flash,2026-05-14,tagging,93966102,11745763,78305,14.54,0
gemini,gemini-1.5-flash,2026-05-15,tagging,162305085,20288136,135254,25.12,0
gemini,gemini-1.5-flash,2026-05-16,tagging,187932203,23491525,156610,29.08,0
gemini,gemini-1.5-flash,2026-05-17,tagging,196474576,24559322,163729,30.41,0
gemini,gemini-1.5-flash,2026-05-18,tagging,179389831,22423729,149492,27.76,0
gemini,gemini-1.5-flash,2026-05-19,tagging,170847458,21355932,142373,26.44,0
gemini,gemini-1.5-flash,2026-05-20,tagging,111050847,13881356,92542,17.19,0
gemini,gemini-1.5-flash,2026-05-21,tagging,102508475,12813559,85424,15.86,0
gemini,gemini-1.5-flash,2026-05-22,tagging,170847458,21355932,142373,26.44,0
gemini,gemini-1.5-flash,2026-05-23,tagging,187932203,23491525,156610,29.08,0
gemini,gemini-1.5-flash,2026-05-24,tagging,205016949,25627119,170847,31.73,0
gemini,gemini-1.5-flash,2026-05-25,tagging,196474576,24559322,163729,30.41,0
gemini,gemini-1.5-flash,2026-05-26,tagging,179389831,22423729,149492,27.76,0
gemini,gemini-1.5-flash,2026-05-27,tagging,119593220,14949153,99661,18.51,0
gemini,gemini-1.5-flash,2026-05-28,tagging,102508475,12813559,85424,15.86,0
gemini,gemini-1.5-flash,2026-05-29,tagging,444203390,55525424,370169,68.75,0
gemini,gemini-1.5-flash,2026-05-30,tagging,205016949,25627119,170847,31.73,0
gemini,gemini-1.5-flash,2026-05-31,tagging,187932203,23491525,156610,29.08,0
gemini,gemini-1.5-flash,2026-06-01,tagging,170847458,21355932,142373,26.44,0
gemini,gemini-1.5-flash,2026-06-02,tagging,162305085,20288136,135254,25.12,0
gemini,gemini-1.5-flash,2026-06-03,tagging,111050847,13881356,92542,17.19,0
gemini,gemini-1.5-flash,2026-06-04,tagging,102508475,12813559,85424,15.86,0
gemini,gemini-1.5-flash,2026-06-05,tagging,170847458,21355932,142373,26.44,0
