provider,model,date,project,input_tokens,output_tokens,requests,total_cost,errors
openai,gpt-4o,2026-05-08,checkout-agent,24505932,4551102,7002,106.78,0
openai,gpt-4o,2026-05-09,checkout-agent,27228814,5056780,7780,118.64,0
openai,gpt-4o,2026-05-10,checkout-agent,28590254,5309619,8169,124.58,0
openai,gpt-4o,2026-05-11,checkout-agent,27228814,5056780,7780,118.64,0
openai,gpt-4o,2026-05-12,checkout-agent,25867373,4803941,7391,112.71,0
openai,gpt-4o,2026-05-13,checkout-agent,16337288,3034068,4668,71.19,0
openai,gpt-4o,2026-05-14,checkout-agent,14975847,2781229,4279,65.25,0
openai,gpt-4o,2026-05-15,checkout-agent,25867373,4803941,7391,112.71,0
openai,gpt-4o,2026-05-16,checkout-agent,29951695,5562458,8558,130.51,0
openai,gpt-4o,2026-05-17,checkout-agent,31313136,5815297,8947,136.44,0
openai,gpt-4o,2026-05-18,checkout-agent,28590254,5309619,8169,124.58,0
openai,gpt-4o,2026-05-19,checkout-agent,27228814,5056780,7780,118.64,0
openai,gpt-4o,2026-05-20,checkout-agent,17698729,3286907,5057,77.12,0
openai,gpt-4o,2026-05-21,checkout-agent,16337288,3034068,4668,71.19,0
openai,gpt-4o,2026-05-22,checkout-agent,27228814,5056780,7780,118.64,0
openai,gpt-4o,2026-05-23,checkout-agent,29951695,5562458,8558,130.51,0
openai,gpt-4o,2026-05-24,checkout-agent,32674576,6068136,9336,142.37,0
openai,gpt-4o,2026-05-25,checkout-agent,31313136,5815297,8947,136.44,0
openai,gpt-4o,2026-05-26,checkout-agent,28590254,5309619,8169,124.58,0
openai,gpt-4o,2026-05-27,checkout-agent,19060169,3539746,5446,83.05,0
openai,gpt-4o,2026-05-28,checkout-agent,16337288,3034068,4668,71.19,0
openai,gpt-4o,2026-05-29,checkout-agent,70794915,13147627,20227,308.47,0
openai,gpt-4o,2026-05-30,checkout-agent,32674576,6068136,9336,142.37,0
openai,gpt-4o,2026-05-31,checkout-agent,29951695,5562458,8558,130.51,0
openai,gpt-4o,2026-06-01,checkout-agent,27228814,5056780,7780,118.64,0
openai,gpt-4o,2026-06-02,checkout-agent,25867373,4803941,7391,112.71,0
openai,gpt-4o,2026-06-03,checkout-agent,17698729,3286907,5057,77.12,0
openai,gpt-4o,2026-06-04,checkout-agent,16337288,3034068,4668,71.19,0
openai,gpt-4o,2026-06-05,checkout-agent,27228814,5056780,7780,118.64,0
openai,gpt-4o,2026-06-06,checkout-agent,28590254,5309619,8169,124.58,0
anthropic,claude-3-opus,2026-05-08,checkout-agent,1076949,150773,538,27.46,0
anthropic,claude-3-opus,2026-05-09,checkout-agent,1196610,167525,598,30.51,0
anthropic,claude-3-opus,2026-05-10,checkout-agent,1256441,175902,628,32.03,0
anthropic,claude-3-opus,2026-05-11,checkout-agent,1196610,167525,598,30.51,0
anthropic,claude-3-opus,2026-05-12,checkout-agent,1136780,159149,568,28.98,0
anthropic,claude-3-opus,2026-05-13,checkout-agent,717966,100515,359,18.31,0
anthropic,claude-3-opus,2026-05-14,checkout-agent,658136,92139,329,16.78,0
anthropic,claude-3-opus,2026-05-15,checkout-agent,1136780,159149,568,28.98,0
anthropic,claude-3-opus,2026-05-16,checkout-agent,1316271,184278,658,33.56,0
anthropic,claude-3-opus,2026-05-17,checkout-agent,1376102,192654,688,35.08,0
anthropic,claude-3-opus,2026-05-18,checkout-agent,1256441,175902,628,32.03,0
anthropic,claude-3-opus,2026-05-19,checkout-agent,1196610,167525,598,30.51,0
anthropic,claude-3-opus,2026-05-20,checkout-agent,777797,108892,389,19.83,0
anthropic,claude-3-opus,2026-05-21,checkout-agent,717966,100515,359,18.31,0
anthropic,claude-3-opus,2026-05-22,checkout-agent,1196610,167525,598,30.51,0
anthropic,claude-3-opus,2026-05-23,checkout-agent,1316271,184278,658,33.56,0
anthropic,claude-3-opus,2026-05-24,checkout-agent,1435932,201031,718,36.61,0
anthropic,claude-3-opus,2026-05-25,checkout-agent,1376102,192654,688,35.08,0
anthropic,claude-3-opus,2026-05-26,checkout-agent,1256441,175902,628,32.03,0
anthropic,claude-3-opus,2026-05-27,checkout-agent,837627,117268,419,21.36,0
anthropic,claude-3-opus,2026-05-28,checkout-agent,717966,100515,359,18.31,0
anthropic,claude-3-opus,2026-05-29,checkout-agent,3111186,435566,1556,79.32,0
anthropic,claude-3-opus,2026-05-30,checkout-agent,1435932,201031,718,36.61,0
anthropic,claude-3-opus,2026-05-31,checkout-agent,1316271,184278,658,33.56,0
anthropic,claude-3-opus,2026-06-01,checkout-agent,1196610,167525,598,30.51,0
anthropic,claude-3-opus,2026-06-02,checkout-agent,1136780,159149,568,28.98,0
anthropic,claude-3-opus,2026-06-03,checkout-agent,777797,108892,389,19.83,0
anthropic,claude-3-opus,2026-06-04,checkout-agent,717966,100515,359,18.31,0
anthropic,claude-3-opus,2026-06-05,checkout-agent,1196610,167525,598,30.51,0
anthropic,claude-3-opus,2026-06-06,checkout-agent,1256441,175902,628,32.03,0
openai,gpt-4o-mini,2026-05-08,support-bot,106398305,19151695,42559,27.46,0
openai,gpt-4o-mini,2026-05-09,support-bot,118220339,21279661,47288,30.51,0
openai,gpt-4o-mini,2026-05-10,support-bot,124131356,22343644,49653,32.03,0
openai,gpt-4o-mini,2026-05-11,support-bot,118220339,21279661,47288,30.51,0
openai,gpt-4o-mini,2026-05-12,support-bot,112309322,20215678,44924,28.98,0
openai,gpt-4o-mini,2026-05-13,support-bot,70932203,12767797,28373,18.31,0
openai,gpt-4o-mini,2026-05-14,support-bot,65021186,11703814,26008,16.78,0
openai,gpt-4o-mini,2026-05-15,support-bot,112309322,20215678,44924,28.98,0
openai,gpt-4o-mini,2026-05-16,support-bot,130042373,23407627,52017,33.56,0
openai,gpt-4o-mini,2026-05-17,support-bot,135953390,24471610,54381,35.08,0
openai,gpt-4o-mini,2026-05-18,support-bot,124131356,22343644,49653,32.03,0
openai,gpt-4o-mini,2026-05-19,support-bot,118220339,21279661,47288,30.51,0
openai,gpt-4o-mini,2026-05-20,support-bot,76843220,13831780,30737,19.83,0
openai,gpt-4o-mini,2026-05-21,support-bot,70932203,12767797,28373,18.31,0
openai,gpt-4o-mini,2026-05-22,support-bot,118220339,21279661,47288,30.51,0
openai,gpt-4o-mini,2026-05-23,support-bot,130042373,23407627,52017,33.56,0
openai,gpt-4o-mini,2026-05-24,support-bot,141864407,25535593,56746,36.61,0
openai,gpt-4o-mini,2026-05-25,support-bot,135953390,24471610,54381,35.08,0
openai,gpt-4o-mini,2026-05-26,support-bot,124131356,22343644,49653,32.03,0
openai,gpt-4o-mini,2026-05-27,support-bot,82754237,14895763,33102,21.36,0
openai,gpt-4o-mini,2026-05-28,support-bot,70932203,12767797,28373,18.31,0
openai,gpt-4o-mini,2026-05-29,support-bot,307372881,55327119,122949,79.32,0
openai,gpt-4o-mini,2026-05-30,support-bot,141864407,25535593,56746,36.61,0
openai,gpt-4o-mini,2026-05-31,support-bot,130042373,23407627,52017,33.56,0
openai,gpt-4o-mini,2026-06-01,support-bot,118220339,21279661,47288,30.51,0
openai,gpt-4o-mini,2026-06-02,support-bot,112309322,20215678,44924,28.98,0
openai,gpt-4o-mini,2026-06-03,support-bot,76843220,13831780,30737,19.83,0
openai,gpt-4o-mini,2026-06-04,support-bot,70932203,12767797,28373,18.31,0
openai,gpt-4o-mini,2026-06-05,support-bot,118220339,21279661,47288,30.51,0
openai,gpt-4o-mini,2026-06-06,support-bot,124131356,22343644,49653,32.03,0
openai,gpt-4o,2026-05-08,support-bot,4191864,782481,2795,18.31,0
openai,gpt-4o,2026-05-09,support-bot,4657627,869424,3105,20.34,0
openai,gpt-4o,2026-05-10,support-bot,4890508,912895,3260,21.36,0
openai,gpt-4o,2026-05-11,support-bot,4657627,869424,3105,20.34,0
openai,gpt-4o,2026-05-12,support-bot,4424746,825953,2950,19.32,0
openai,gpt-4o,2026-05-13,support-bot,2794576,521654,1863,12.20,0
openai,gpt-4o,2026-05-14,support-bot,2561695,478183,1708,11.19,0
openai,gpt-4o,2026-05-15,support-bot,4424746,825953,2950,19.32,0
openai,gpt-4o,2026-05-16,support-bot,5123390,956366,3416,22.37,0
openai,gpt-4o,2026-05-17,support-bot,5356271,999837,3571,23.39,0
openai,gpt-4o,2026-05-18,support-bot,4890508,912895,3260,21.36,0
openai,gpt-4o,2026-05-19,support-bot,4657627,869424,3105,20.34,0
openai,gpt-4o,2026-05-20,support-bot,3027458,565125,2018,13.22,0
openai,gpt-4o,2026-05-21,support-bot,2794576,521654,1863,12.20,0
openai,gpt-4o,2026-05-22,support-bot,4657627,869424,3105,20.34,0
openai,gpt-4o,2026-05-23,support-bot,5123390,956366,3416,22.37,0
openai,gpt-4o,2026-05-24,support-bot,5589153,1043308,3726,24.41,0
openai,gpt-4o,2026-05-25,support-bot,5356271,999837,3571,23.39,0
openai,gpt-4o,2026-05-26,support-bot,4890508,912895,3260,21.36,0
openai,gpt-4o,2026-05-27,support-bot,3260339,608597,2174,14.24,0
openai,gpt-4o,2026-05-28,support-bot,2794576,521654,1863,12.20,0
openai,gpt-4o,2026-05-29,support-bot,12109831,2260502,8073,52.88,0
