date,model,workspace,requests,uncached_input_tokens,cache_read_input_tokens,cache_creation_input_tokens,output_tokens,cost,errors
2026-05-17,claude-opus-4,assistant-api,2667,3132148,4101623,223725,1738645,187.73,0
2026-05-18,claude-opus-4,assistant-api,3210,4068347,5327597,290596,2368719,252.12,0
2026-05-19,claude-opus-4,assistant-api,3722,4860227,6364584,347159,2807377,299.51,0
2026-05-20,claude-opus-4,assistant-api,3447,4474029,5858849,319574,2234396,249.47,0
2026-05-21,claude-opus-4,assistant-api,3710,5035518,6594132,359680,2441538,275.28,0
2026-05-22,claude-opus-4,assistant-api,2419,3035658,3975266,216833,1807246,191.11,0
2026-05-23,claude-opus-4,assistant-api,2587,3101529,4061527,221538,1894428,198.85,0
2026-05-24,claude-opus-4,assistant-api,3502,4459875,5840312,318562,2280571,252.67,0
2026-05-25,claude-opus-4,assistant-api,3647,4534995,5938684,323928,2700990,285.58,0
2026-05-26,claude-opus-4,assistant-api,3064,3679845,4818845,262846,2086610,223.85,0
2026-05-27,claude-opus-4,assistant-api,2416,3214733,4209769,229624,1641801,181.98,0
2026-05-28,claude-opus-4,assistant-api,2420,2970231,3889587,212159,1589336,173.57,0
2026-05-29,claude-opus-4,assistant-api,1470,1871275,2450479,133662,1102246,116.92,0
2026-05-30,claude-opus-4,assistant-api,1251,1605089,2101901,114649,878287,95.25,0
2026-05-31,claude-opus-4,assistant-api,1921,2357301,3086943,168379,1250092,136.90,0
2026-06-01,claude-opus-4,assistant-api,2003,2615718,3425344,186837,1503995,160.68,0
2026-06-02,claude-opus-4,assistant-api,2612,3532073,4625333,252291,1898757,207.06,0
2026-06-03,claude-opus-4,assistant-api,2487,3120275,4086074,222877,1823090,193.84,0
2026-06-04,claude-opus-4,assistant-api,2523,3372396,4416233,240885,1715226,190.37,0
2026-06-05,claude-opus-4,assistant-api,1655,2239967,2933291,159998,1227429,133.06,0
2026-06-06,claude-opus-4,assistant-api,2283,2675110,3503121,191079,1578858,167.38,0
