date,model,workspace,requests,uncached_input_tokens,cache_read_input_tokens,cache_creation_input_tokens,output_tokens,cost,errors
2026-05-17,claude-opus-4,assistant-api,3196,4082769,5346483,291626,2345172,250.62,0
2026-05-18,claude-opus-4,assistant-api,2964,3452840,4521578,246632,1974967,211.32,0
2026-05-19,claude-opus-4,assistant-api,3117,3991904,5227494,285136,2162935,235.29,0
2026-05-20,claude-opus-4,assistant-api,3824,4592080,6013439,328006,2739456,289.51,0
2026-05-21,claude-opus-4,assistant-api,3751,4674951,6121959,333925,2590417,279.85,0
2026-05-22,claude-opus-4,assistant-api,2436,2936451,3845353,209747,1740504,184.29,0
2026-05-23,claude-opus-4,assistant-api,2136,2885593,3778753,206114,1426702,159.82,0
2026-05-24,claude-opus-4,assistant-api,3599,4230122,5539446,302152,2675436,278.08,0
2026-05-25,claude-opus-4,assistant-api,3360,4172390,5463845,298028,2530802,266.18,0
2026-05-26,claude-opus-4,assistant-api,3051,4081978,5345447,291570,2279331,245.66,0
2026-05-27,claude-opus-4,assistant-api,2865,3470528,4544740,247895,2149837,224.76,0
2026-05-28,claude-opus-4,assistant-api,2670,3112600,4076025,222329,1918996,200.90,0
2026-05-29,claude-opus-4,assistant-api,1402,1796620,2352716,128330,932985,102.86,0
2026-05-30,claude-opus-4,assistant-api,1238,1510565,1978120,107897,805265,88.04,0
2026-05-31,claude-opus-4,assistant-api,2361,3019972,3954726,215712,1756338,187.00,0
2026-06-01,claude-opus-4,assistant-api,2359,2947590,3859939,210542,1622930,175.67,0
2026-06-02,claude-opus-4,assistant-api,2200,2956731,3871909,211195,1445323,162.52,0
2026-06-03,claude-opus-4,assistant-api,2237,2704577,3541708,193184,1672707,174.96,0
2026-06-04,claude-opus-4,assistant-api,2902,3584167,4693552,256012,2104280,223.42,0
2026-06-05,claude-opus-4,assistant-api,2091,2603216,3408973,185944,1400643,152.70,0
2026-06-06,claude-opus-4,assistant-api,2341,3007355,3938202,214811,1516875,168.81,0
2026-06-07,claude-opus-4,assistant-api,9800,11494380,15052164,821027,6729565,715.11,0
