date,model,workspace,requests,uncached_input_tokens,cache_read_input_tokens,cache_creation_input_tokens,output_tokens,cost,errors
2026-06-09,claude-opus-4,assistant-api,2022,2521323,3301733,180095,1481816,157.29,0
2026-06-10,claude-opus-4,assistant-api,2434,3052538,3997371,218038,1574517,173.96,0
2026-06-11,claude-opus-4,assistant-api,2822,3451913,4520361,246565,1985172,212.07,0
2026-06-12,claude-opus-4,assistant-api,2614,3142561,4115259,224469,1726053,186.97,0
2026-06-13,claude-opus-4,assistant-api,7313,8812008,11539535,629429,5486628,572.79,0
2026-06-14,claude-opus-4,assistant-api,1834,2306119,3019918,164723,1228718,134.36,0
2026-06-15,claude-opus-4,assistant-api,1961,2319215,3037068,165658,1461738,152.08,0
2026-06-09,claude-3-5-sonnet,summarizer,899,3700137,4845418,264296,1349454,33.79,0
2026-06-10,claude-3-5-sonnet,summarizer,1082,4454737,5833584,318195,1509215,38.95,0
2026-06-11,claude-3-5-sonnet,summarizer,1254,4809768,6298507,343555,1796436,44.55,0
2026-06-12,claude-3-5-sonnet,summarizer,1162,4814553,6304772,343897,1538939,40.71,0
2026-06-13,claude-3-5-sonnet,summarizer,3250,12665669,16585996,904691,4240921,109.98,0
2026-06-14,claude-3-5-sonnet,summarizer,815,3028449,3965826,216318,1147699,28.30,0
2026-06-15,claude-3-5-sonnet,summarizer,872,3667752,4803008,261982,1265185,32.40,0
2026-06-09,claude-3-5-haiku,classify-bot,35944,42293666,55384563,3020976,11848501,88.68,2471
2026-06-10,claude-3-5-haiku,classify-bot,43267,43752231,57294588,3125159,14914425,102.37,2975
2026-06-11,claude-3-5-haiku,classify-bot,50170,51506060,67448412,3679004,15989706,114.24,3449
2026-06-12,claude-3-5-haiku,classify-bot,46464,54153014,70914663,3868073,14147363,109.45,3194
2026-06-13,claude-3-5-haiku,classify-bot,130018,148528524,194501639,10609180,42052267,313.20,8939
2026-06-14,claude-3-5-haiku,classify-bot,32600,33118421,43369361,2365601,10295278,73.51,2241
2026-06-15,claude-3-5-haiku,classify-bot,34870,40286895,52756648,2877635,10635849,81.87,2397
