usage_date,service,model,project_id,requests,input_tokens,output_tokens,thinking_tokens,cost,errors
2026-05-17,Generative Language API,gemini-2.5-pro,vision-api,4238,14101079,2909685,1745811,46.72,0
2026-05-18,Generative Language API,gemini-2.5-pro,vision-api,5232,18922654,3499992,2099995,58.65,0
2026-05-19,Generative Language API,gemini-2.5-pro,vision-api,5069,17574040,3568890,2141334,57.66,0
2026-05-20,Generative Language API,gemini-2.5-pro,vision-api,5623,20119911,3734294,2240576,62.49,0
2026-05-21,Generative Language API,gemini-2.5-pro,vision-api,5476,17447264,3707152,2224291,58.88,0
2026-05-22,Generative Language API,gemini-2.5-pro,vision-api,3826,13826548,2651846,1591108,43.80,0
2026-05-23,Generative Language API,gemini-2.5-pro,vision-api,3610,11714701,2459416,1475650,39.24,0
2026-05-24,Generative Language API,gemini-2.5-pro,vision-api,5893,19130508,3896164,2337698,62.87,0
2026-05-25,Generative Language API,gemini-2.5-pro,vision-api,5893,18897438,3911571,2346943,62.74,0
2026-05-26,Generative Language API,gemini-2.5-pro,vision-api,4650,16537210,3119057,1871434,51.86,0
2026-05-27,Generative Language API,gemini-2.5-pro,vision-api,3812,11986643,2455985,1473591,39.54,0
2026-05-28,Generative Language API,gemini-2.5-pro,vision-api,4510,15962355,3197946,1918768,51.93,0
2026-05-29,Generative Language API,gemini-2.5-pro,vision-api,2332,8135582,1555730,933438,25.73,0
2026-05-30,Generative Language API,gemini-2.5-pro,vision-api,2039,7386643,1411231,846739,23.35,0
2026-05-31,Generative Language API,gemini-2.5-pro,vision-api,3007,10625669,1977605,1186563,33.06,0
2026-06-01,Generative Language API,gemini-2.5-pro,vision-api,3765,13663419,2667989,1600793,43.76,0
2026-06-02,Generative Language API,gemini-2.5-pro,vision-api,3748,13143749,2459667,1475800,41.03,0
2026-06-03,Generative Language API,gemini-2.5-pro,vision-api,4044,13138054,2862926,1717756,45.05,0
2026-06-04,Generative Language API,gemini-2.5-pro,vision-api,4378,14344171,2861577,1716946,46.55,0
2026-06-05,Generative Language API,gemini-2.5-pro,vision-api,3183,11536596,2124674,1274804,35.67,0
2026-06-06,Generative Language API,gemini-2.5-pro,vision-api,3069,10963125,2256192,1353715,36.27,0
2026-06-07,Generative Language API,gemini-2.5-pro,vision-api,14808,47987135,10893495,6536097,168.92,0
2026-06-08,Generative Language API,gemini-2.5-pro,vision-api,5343,17429171,3674784,2204870,58.53,0
2026-06-09,Generative Language API,gemini-2.5-pro,vision-api,5496,17894144,3708023,2224814,59.45,0
2026-06-10,Generative Language API,gemini-2.5-pro,vision-api,6503,20807849,4799325,2879595,74.00,0
2026-06-11,Generative Language API,gemini-2.5-pro,vision-api,5324,18646467,3706518,2223911,60.37,0
2026-06-12,Generative Language API,gemini-2.5-pro,vision-api,3011,10168290,2050974,1230584,33.22,0
2026-06-13,Generative Language API,gemini-2.5-pro,vision-api,3078,10467473,1997169,1198301,33.06,0
2026-06-14,Generative Language API,gemini-2.5-pro,vision-api,4372,14865658,3059064,1835438,49.17,0
2026-06-15,Generative Language API,gemini-2.5-pro,vision-api,4667,15533692,3247070,1948242,51.89,0
2026-05-17,Generative Language API,gemini-2.5-flash,summaries,6660,62531482,10122472,6073483,44.07,0
2026-05-18,Generative Language API,gemini-2.5-flash,summaries,8221,72108831,11505704,6903422,50.40,0
2026-05-19,Generative Language API,gemini-2.5-flash,summaries,7965,75090222,11102355,6661413,50.28,0
2026-05-20,Generative Language API,gemini-2.5-flash,summaries,8836,82322560,14231105,8538663,60.27,0
2026-05-21,Generative Language API,gemini-2.5-flash,summaries,8605,81386019,13854171,8312503,59.05,0
2026-05-22,Generative Language API,gemini-2.5-flash,summaries,6013,51023476,9439439,5663663,38.91,0
2026-05-23,Generative Language API,gemini-2.5-flash,summaries,5673,53446455,8317935,4990761,36.83,0
2026-05-24,Generative Language API,gemini-2.5-flash,summaries,9261,87300666,14885290,8931174,63.40,0
2026-05-25,Generative Language API,gemini-2.5-flash,summaries,9261,81459385,14494530,8696718,60.67,0
2026-05-26,Generative Language API,gemini-2.5-flash,summaries,7308,66113455,11625161,6975097,48.90,0
2026-05-27,Generative Language API,gemini-2.5-flash,summaries,5990,53580354,8827524,5296514,38.14,0
2026-05-28,Generative Language API,gemini-2.5-flash,summaries,7088,59765800,10059372,6035623,43.08,0
2026-05-29,Generative Language API,gemini-2.5-flash,summaries,3664,32942642,5281139,3168683,23.09,0
2026-05-30,Generative Language API,gemini-2.5-flash,summaries,3204,29001053,4515175,2709105,19.99,0
2026-05-31,Generative Language API,gemini-2.5-flash,summaries,4725,43629589,6533709,3920225,29.42,0
2026-06-01,Generative Language API,gemini-2.5-flash,summaries,5917,52194824,9526228,5715737,39.47,0
2026-06-02,Generative Language API,gemini-2.5-flash,summaries,5889,48984579,8943362,5366017,37.05,0
2026-06-03,Generative Language API,gemini-2.5-flash,summaries,6355,57824441,9990239,5994143,42.32,0
2026-06-04,Generative Language API,gemini-2.5-flash,summaries,6880,62150713,9690217,5814130,42.87,0
2026-06-05,Generative Language API,gemini-2.5-flash,summaries,5002,45146137,8039480,4823688,33.64,0
2026-06-06,Generative Language API,gemini-2.5-flash,summaries,4822,39974039,7616035,4569621,31.03,0
2026-06-07,Generative Language API,gemini-2.5-flash,summaries,23270,212089426,32838856,19703314,145.72,0
2026-06-08,Generative Language API,gemini-2.5-flash,summaries,8396,76365089,11886419,7131851,52.63,0
2026-06-09,Generative Language API,gemini-2.5-flash,summaries,8637,75457821,12799163,7679498,54.64,0
2026-06-10,Generative Language API,gemini-2.5-flash,summaries,10218,84690049,14968716,8981230,62.83,0
2026-06-11,Generative Language API,gemini-2.5-flash,summaries,8367,70037955,12253168,7351901,51.64,0
2026-06-12,Generative Language API,gemini-2.5-flash,summaries,4732,44001958,7427505,4456503,31.77,0
