date,model,project,api_key_name,n_requests,input_tokens,cached_tokens,output_tokens,reasoning_tokens,total_cost,errors
2026-05-17,gpt-4o,prod-chat-api,prod-chat-api,6185,18765702,8444566,3497049,0,71.33,0
2026-05-18,gpt-4o,prod-chat-api,prod-chat-api,8509,28592458,12866606,4938915,0,104.79,0
2026-05-19,gpt-4o,prod-chat-api,prod-chat-api,7240,24293170,10931927,4593117,0,93.00,0
2026-05-20,gpt-4o,prod-chat-api,prod-chat-api,10005,30007752,13503488,6437741,0,122.52,0
2026-05-21,gpt-4o,prod-chat-api,prod-chat-api,7905,27070982,12181942,4728518,0,99.74,0
2026-05-22,gpt-4o,prod-chat-api,prod-chat-api,5686,17046543,7670944,3258628,0,65.61,0
2026-05-23,gpt-4o,prod-chat-api,prod-chat-api,4820,14820055,6669025,3071491,0,59.43,0
2026-05-24,gpt-4o,prod-chat-api,prod-chat-api,9243,27528389,12387775,5824459,0,111.58,0
2026-05-25,gpt-4o,prod-chat-api,prod-chat-api,8110,26149112,11767100,5153333,0,102.20,0
2026-05-26,gpt-4o,prod-chat-api,prod-chat-api,8401,28107121,12648204,4715150,0,101.61,0
2026-05-27,gpt-4o,prod-chat-api,prod-chat-api,7036,24155379,10869921,4498454,0,91.79,0
2026-05-28,gpt-4o,prod-chat-api,prod-chat-api,6940,23458813,10556466,4403091,0,89.48,0
2026-05-29,gpt-4o,prod-chat-api,prod-chat-api,3729,11602737,5221232,2289210,0,45.37,0
2026-05-30,gpt-4o,prod-chat-api,prod-chat-api,3598,12075579,5434011,2187549,0,45.27,0
2026-05-31,gpt-4o,prod-chat-api,prod-chat-api,5882,18813444,8466050,3264628,0,69.10,0
2026-06-01,gpt-4o,prod-chat-api,prod-chat-api,5345,17464758,7859141,2965856,0,63.50,0
2026-06-02,gpt-4o,prod-chat-api,prod-chat-api,4929,16780472,7551212,2931005,0,61.82,0
2026-06-03,gpt-4o,prod-chat-api,prod-chat-api,6563,22284195,10027888,3741655,0,80.59,0
2026-06-04,gpt-4o,prod-chat-api,prod-chat-api,5755,17548686,7896909,3433735,0,68.34,0
2026-06-05,gpt-4o,prod-chat-api,prod-chat-api,4507,14830910,6673910,2552810,0,54.26,0
2026-06-06,gpt-4o,prod-chat-api,prod-chat-api,4863,15047764,6771494,2783437,0,56.99,0
2026-06-07,gpt-4o,prod-chat-api,prod-chat-api,24803,79235042,35655769,13747899,0,291.00,0
2026-06-08,gpt-4o,prod-chat-api,prod-chat-api,9620,31779583,14300812,5487409,0,116.45,0
2026-06-09,gpt-4o,prod-chat-api,prod-chat-api,9852,30227997,13602599,6135034,0,119.92,0
2026-06-10,gpt-4o,prod-chat-api,prod-chat-api,8320,26235641,11806038,4914432,0,99.98,0
2026-06-11,gpt-4o,prod-chat-api,prod-chat-api,9345,28863877,12988745,5686351,0,112.79,0
2026-06-12,gpt-4o,prod-chat-api,prod-chat-api,5149,17789478,8005265,3085393,0,65.32,0
2026-06-13,gpt-4o,prod-chat-api,prod-chat-api,4383,13323269,5995471,2757153,0,53.39,0
2026-06-14,gpt-4o,prod-chat-api,prod-chat-api,6358,21957532,9880889,4043973,0,82.98,0
2026-06-15,gpt-4o,prod-chat-api,prod-chat-api,6918,20740346,9333156,4274736,0,82.93,0
2026-05-17,gpt-4o,doc-extraction,doc-extraction,2530,22735801,10231110,3935564,0,83.41,0
2026-05-18,gpt-4o,doc-extraction,doc-extraction,3481,29108085,13098638,4846928,0,104.87,0
2026-05-19,gpt-4o,doc-extraction,doc-extraction,2962,25064610,11279075,4741200,0,95.97,0
2026-05-20,gpt-4o,doc-extraction,doc-extraction,4093,36836346,16576356,5945976,0,130.83,0
2026-05-21,gpt-4o,doc-extraction,doc-extraction,3234,28488179,12819681,4641455,0,101.61,0
2026-05-22,gpt-4o,doc-extraction,doc-extraction,2326,19964608,8984074,3426210,0,72.94,0
2026-05-23,gpt-4o,doc-extraction,doc-extraction,1972,17209091,7744091,2731663,0,60.66,0
2026-05-24,gpt-4o,doc-extraction,doc-extraction,3781,31769736,14296381,6075646,0,122.31,0
2026-05-25,gpt-4o,doc-extraction,doc-extraction,3318,30228055,13602625,5070171,0,109.27,0
2026-05-26,gpt-4o,doc-extraction,doc-extraction,3437,30195574,13588008,5000459,0,108.51,0
2026-05-27,gpt-4o,doc-extraction,doc-extraction,2878,26288997,11830049,4335803,0,94.29,0
2026-05-28,gpt-4o,doc-extraction,doc-extraction,2839,24034653,10815594,4141061,0,87.98,0
2026-05-29,gpt-4o,doc-extraction,doc-extraction,1526,13555236,6099856,2307035,0,49.33,0
2026-05-30,gpt-4o,doc-extraction,doc-extraction,1472,12996033,5848215,2184047,0,47.02,0
2026-05-31,gpt-4o,doc-extraction,doc-extraction,2406,20841413,9378636,3805059,0,78.43,0
2026-06-01,gpt-4o,doc-extraction,doc-extraction,2187,19570799,8806860,3161977,0,69.54,0
2026-06-02,gpt-4o,doc-extraction,doc-extraction,2017,16965985,7634693,2871493,0,61.59,0
2026-06-03,gpt-4o,doc-extraction,doc-extraction,2685,25388718,11424923,3899225,0,88.18,0
2026-06-04,gpt-4o,doc-extraction,doc-extraction,2354,20762964,9343334,3255669,0,72.78,0
2026-06-05,gpt-4o,doc-extraction,doc-extraction,1844,16403670,7381652,2819370,0,59.98,0
2026-06-06,gpt-4o,doc-extraction,doc-extraction,1990,17463233,7858455,3051896,0,64.35,0
2026-06-07,gpt-4o,doc-extraction,doc-extraction,10147,89088653,40089894,16102117,0,333.63,0
2026-06-08,gpt-4o,doc-extraction,doc-extraction,3936,35978573,16190358,6180709,0,131.52,0
2026-06-09,gpt-4o,doc-extraction,doc-extraction,4030,34023571,15310607,5754026,0,123.46,0
2026-06-10,gpt-4o,doc-extraction,doc-extraction,3404,29520035,13284016,5160412,0,108.80,0
2026-06-11,gpt-4o,doc-extraction,doc-extraction,3823,32788612,14754875,5655579,0,120.08,0
2026-06-12,gpt-4o,doc-extraction,doc-extraction,2106,17986598,8093969,3154314,0,66.39,0
2026-06-13,gpt-4o,doc-extraction,doc-extraction,1793,15649684,7042358,2619249,0,56.51,0
2026-06-14,gpt-4o,doc-extraction,doc-extraction,2601,22641979,10188891,3619251,0,80.06,0
