date,model,project,api_key_name,n_requests,input_tokens,cached_tokens,output_tokens,reasoning_tokens,total_cost,errors
2026-05-17,gpt-4o,prod-chat-api,prod-chat-api,6660,20856272,9385322,3919335,0,79.60,0
2026-05-18,gpt-4o,prod-chat-api,prod-chat-api,8221,27984015,12592807,4713865,0,101.36,0
2026-05-19,gpt-4o,prod-chat-api,prod-chat-api,7965,25989994,11695497,4806732,0,98.42,0
2026-05-20,gpt-4o,prod-chat-api,prod-chat-api,8836,29756699,13390515,5029784,0,107.95,0
2026-05-21,gpt-4o,prod-chat-api,prod-chat-api,8605,25803928,11611768,4993224,0,99.93,0
2026-05-22,gpt-4o,prod-chat-api,prod-chat-api,6013,20451778,9203300,3572299,0,75.35,0
2026-05-23,gpt-4o,prod-chat-api,prod-chat-api,5673,17326380,7796871,3312766,0,66.70,0
2026-05-24,gpt-4o,prod-chat-api,prod-chat-api,9261,28295607,12733023,5248219,0,107.30,0
2026-05-25,gpt-4o,prod-chat-api,prod-chat-api,9261,27950876,12577894,5268972,0,106.84,0
2026-05-26,gpt-4o,prod-chat-api,prod-chat-api,7308,24461264,11007569,4201671,0,89.41,0
2026-05-27,gpt-4o,prod-chat-api,prod-chat-api,5990,17727299,7977285,3307904,0,67.43,0
2026-05-28,gpt-4o,prod-chat-api,prod-chat-api,7088,23611044,10624970,4307958,0,88.83,0
2026-05-29,gpt-4o,prod-chat-api,prod-chat-api,3664,12030581,5413761,2095146,0,44.26,0
2026-05-30,gpt-4o,prod-chat-api,prod-chat-api,3204,10924295,4915933,1900757,0,40.17,0
2026-05-31,gpt-4o,prod-chat-api,prod-chat-api,4725,15714326,7071447,2663551,0,57.08,0
2026-06-01,gpt-4o,prod-chat-api,prod-chat-api,5917,20210034,9094515,3593965,0,75.10,0
2026-06-02,gpt-4o,prod-chat-api,prod-chat-api,5889,19437137,8746712,3312619,0,70.79,0
2026-06-03,gpt-4o,prod-chat-api,prod-chat-api,6355,19431509,8744179,3856272,0,76.21,0
2026-06-04,gpt-4o,prod-chat-api,prod-chat-api,6880,21215789,9547105,3854530,0,79.65,0
2026-06-05,gpt-4o,prod-chat-api,prod-chat-api,5002,17063016,7678357,2861888,0,61.68,0
2026-06-06,gpt-4o,prod-chat-api,prod-chat-api,4822,16211968,7295386,3038502,0,61.80,0
2026-06-07,gpt-4o,prod-chat-api,prod-chat-api,23270,70973441,31938048,14673051,0,284.24,0
2026-06-08,gpt-4o,prod-chat-api,prod-chat-api,8396,25777160,11599722,4949624,0,99.44,0
2026-06-09,gpt-4o,prod-chat-api,prod-chat-api,8637,26466602,11909971,4994727,0,101.23,0
2026-06-10,gpt-4o,prod-chat-api,prod-chat-api,10218,30771622,13847230,6463765,0,124.26,0
2026-06-11,gpt-4o,prod-chat-api,prod-chat-api,8367,27580323,12411145,4992879,0,103.37,0
2026-06-12,gpt-4o,prod-chat-api,prod-chat-api,4732,15040177,6768080,2762786,0,56.77,0
2026-06-13,gpt-4o,prod-chat-api,prod-chat-api,4837,15481762,6966793,2690144,0,56.90,0
2026-06-14,gpt-4o,prod-chat-api,prod-chat-api,6870,21985269,9893371,4120200,0,83.80,0
2026-06-15,gpt-4o,prod-chat-api,prod-chat-api,7334,22974647,10338591,4373690,0,88.25,0
2026-05-17,gpt-4o,doc-extraction,doc-extraction,2725,26166813,11775066,4141702,0,92.12,0
2026-05-18,gpt-4o,doc-extraction,doc-extraction,3363,30168277,13575725,4706688,0,105.52,0
2026-05-19,gpt-4o,doc-extraction,doc-extraction,3258,31412936,14135821,4541302,0,106.28,0
2026-05-20,gpt-4o,doc-extraction,doc-extraction,3615,34445405,15500432,5822255,0,124.96,0
2026-05-21,gpt-4o,doc-extraction,doc-extraction,3520,34048770,15321947,5667249,0,122.64,0
2026-05-22,gpt-4o,doc-extraction,doc-extraction,2460,21348815,9606967,3861803,0,79.98,0
2026-05-23,gpt-4o,doc-extraction,doc-extraction,2321,22363568,10063606,3403125,0,77.36,0
2026-05-24,gpt-4o,doc-extraction,doc-extraction,3788,36519892,16433951,6088487,0,131.64,0
2026-05-25,gpt-4o,doc-extraction,doc-extraction,3789,34085344,15338405,5930221,0,125.34,0
2026-05-26,gpt-4o,doc-extraction,doc-extraction,2989,27655217,12444848,4754735,0,101.13,0
2026-05-27,gpt-4o,doc-extraction,doc-extraction,2450,22413242,10085959,3610590,0,79.53,0
2026-05-28,gpt-4o,doc-extraction,doc-extraction,2900,25008455,11253805,4115714,0,89.61,0
2026-05-29,gpt-4o,doc-extraction,doc-extraction,1499,13783656,6202645,2160597,0,48.31,0
2026-05-30,gpt-4o,doc-extraction,doc-extraction,1311,12136230,5461304,1847502,0,41.99,0
2026-05-31,gpt-4o,doc-extraction,doc-extraction,1933,18254544,8214545,2672944,0,62.10,0
2026-06-01,gpt-4o,doc-extraction,doc-extraction,2421,21841401,9828630,3897752,0,81.30,0
