date,model,project,api_key_name,n_requests,input_tokens,cached_tokens,output_tokens,reasoning_tokens,total_cost,errors
2026-06-09,gpt-4o,prod-chat-api,prod-chat-api,5040,16831123,7574005,3042316,0,63.03,0
2026-06-10,gpt-4o,prod-chat-api,prod-chat-api,6934,23799564,10709804,4258365,0,88.70,0
2026-06-11,gpt-4o,prod-chat-api,prod-chat-api,5900,20220455,9099205,3672886,0,75.91,0
2026-06-12,gpt-4o,prod-chat-api,prod-chat-api,8153,27471546,12362196,5267880,0,105.90,0
2026-06-13,gpt-4o,prod-chat-api,prod-chat-api,16747,54274396,24423478,9485380,0,200.01,0
2026-06-14,gpt-4o,prod-chat-api,prod-chat-api,4633,15607986,7023594,2597179,0,56.21,0
2026-06-15,gpt-4o,prod-chat-api,prod-chat-api,3927,12617859,5678037,2354538,0,47.99,0
2026-06-09,gpt-4o,doc-extraction,doc-extraction,2062,19882311,8947040,3240678,0,70.93,0
2026-06-10,gpt-4o,doc-extraction,doc-extraction,2836,26718716,12023422,4066259,0,92.43,0
2026-06-11,gpt-4o,doc-extraction,doc-extraction,2414,22347954,10056579,3582263,0,79.12,0
2026-06-12,gpt-4o,doc-extraction,doc-extraction,3335,28276573,12724458,4659470,0,101.38,0
2026-06-13,gpt-4o,doc-extraction,doc-extraction,6851,63026844,28362080,9743620,0,219.55,0
2026-06-14,gpt-4o,doc-extraction,doc-extraction,1896,16080207,7236093,2986432,0,61.02,0
2026-06-15,gpt-4o,doc-extraction,doc-extraction,1607,13991367,6296115,2527568,0,52.38,0
2026-06-09,gpt-4o-mini,batch-tagging,batch-tagging,33218,59709034,0,9340307,0,14.56,2749
2026-06-10,gpt-4o-mini,batch-tagging,batch-tagging,45699,83314538,0,14671689,0,21.30,3782
2026-06-11,gpt-4o-mini,batch-tagging,batch-tagging,38885,65902657,0,10929061,0,16.44,3218
2026-06-12,gpt-4o-mini,batch-tagging,batch-tagging,53732,87248640,0,15488418,0,22.38,4447
2026-06-13,gpt-4o-mini,batch-tagging,batch-tagging,110376,199284941,0,30818661,0,48.38,9135
2026-06-14,gpt-4o-mini,batch-tagging,batch-tagging,30539,54524928,0,9231285,0,13.72,2527
2026-06-15,gpt-4o-mini,batch-tagging,batch-tagging,25885,46602926,0,8119043,0,11.86,2142
